Time Series from ERA5 from Copernicus Climate Data Store
Selected Point:Fino3 55.25 7.25
Time,u100,v100,u10,v10,t2m,d2m,msl,sst,blh,slhf,sshf,ssrd,zust
2001-01-01 00:00:00,-2.30043,14.62667,-2.08405,12.27609,276.51907,274.67957,100709.92614,280.22125,770.08855,-407961.36421,-313782.50153,0.0,0.60192
2001-01-01 01:00:00,-4.49804,15.18149,-3.91038,12.65651,276.58105,274.31403,100564.1118,280.22125,799.77045,-471907.69193,-341700.2239,0.0,0.63607
2001-01-01 02:00:00,-5.11358,15.6955,-4.35959,12.89185,276.76847,274.06055,100467.99859,280.22125,859.4725,-509350.36084,-338331.63922,0.0,0.66044
2001-01-01 03:00:00,-7.04413,15.17046,-5.99272,12.39671,276.86974,273.96316,100332.78229,280.22125,833.34228,-546605.50387,-340546.59901,0.0,0.70934
2001-01-01 04:00:00,-8.43036,16.23599,-7.05292,13.12465,277.00427,273.76705,100174.90812,280.22125,865.89935,-601238.04582,-353421.0528,0.0,0.76866
2001-01-01 05:00:00,-9.40453,17.30702,-7.77146,13.8644,277.04962,273.63765,99997.29968,280.22125,847.12618,-647869.48324,-361357.99205,0.0,0.79472
2001-01-01 06:00:00,-8.01957,18.03392,-6.55327,14.31146,277.03752,273.46688,99899.72467,280.22125,894.90473,-675998.3664,-368418.17638,0.0,0.81706
2001-01-01 07:00:00,-6.55704,18.10561,-5.44929,14.40087,276.94683,273.48156,99832.66469,280.22125,942.68329,-700501.74906,-396520.47874,0.0,0.84187
2001-01-01 08:00:00,-6.48328,18.75088,-5.38457,15.01578,276.68987,273.60296,99728.14614,280.22125,944.45913,-679436.341,-398827.72852,0.0,0.85533
2001-01-01 09:00:00,-5.57905,18.84464,-4.66413,15.04699,276.8501,274.04054,99655.23897,280.22125,974.39471,-660121.17457,-413363.40215,13449.89303,0.85694
2001-01-01 10:00:00,-5.49257,17.83758,-4.60322,14.30724,276.38757,274.66089,99499.19205,280.22125,862.68592,-596987.45904,-396151.31877,31544.85221,0.81545
2001-01-01 11:00:00,-2.94648,17.9545,-2.60464,14.52233,277.0209,274.92905,99482.92955,280.22125,853.46847,-542479.93434,-361034.97708,42221.57142,0.78005
2001-01-01 12:00:00,-1.65945,17.13495,-1.56632,14.0525,277.95653,275.3226,99369.27477,280.22125,796.1342,-496098.53144,-276958.795,59623.23715,0.73952
2001-01-01 13:00:00,-1.43181,16.73235,-1.34457,13.82054,278.40242,275.78153,99235.88571,280.22125,768.48184,-430026.91034,-196989.51754,64545.62068,0.70483
2001-01-01 14:00:00,0.17698,16.52939,-0.06358,13.61894,278.59892,276.40188,99213.59329,280.22125,808.22683,-368268.38465,-162473.06079,41736.266,0.67924
2001-01-01 15:00:00,0.8205,16.19076,0.4237,13.32203,279.10528,277.14364,99155.85228,280.22125,775.24694,-289695.03769,-120434.96976,10052.7551,0.6152
2001-01-01 16:00:00,2.573,16.44556,1.87696,13.42747,279.53304,277.6079,99138.49343,280.22125,774.73956,-214809.69986,-68752.57463,0.0,0.59282
2001-01-01 17:00:00,4.85837,16.66837,3.72612,13.31528,279.89732,278.03481,99133.01168,280.22125,740.91403,-174616.65126,-38712.18246,0.0,0.55971
2001-01-01 18:00:00,6.21662,16.84486,4.56934,12.96523,280.03789,278.54577,99146.16786,280.22125,744.12746,-122796.99762,-16977.88951,0.0,0.47641
2001-01-01 19:00:00,6.22806,15.27966,4.62263,11.99183,280.2888,278.83526,99133.74258,280.22125,718.16637,-97293.47689,11401.28282,0.0,0.53623
2001-01-01 20:00:00,6.49132,14.0167,4.49891,10.98553,280.57448,279.11142,99151.83233,280.22125,698.71669,-69852.18865,16431.08735,0.0,0.48518
2001-01-01 21:00:00,7.1768,12.98537,5.1042,10.30145,280.85411,279.43961,99179.97194,280.22125,697.78649,-49286.84963,26029.24644,0.0,0.45482
2001-01-01 22:00:00,6.80418,11.45437,5.02901,9.20827,280.93724,279.58769,99228.21127,280.2012,666.32875,-29721.64868,40749.50005,0.0,0.40166
2001-01-01 23:00:00,6.68717,10.92492,4.85866,8.757,281.01735,279.70109,99256.89905,280.2012,664.8066,-16657.34517,46056.17455,0.0,0.36898
2001-01-02 00:00:00,6.25143,10.89786,4.42745,8.67153,281.00481,279.7068,99271.62596,280.20086,603.3828,-12873.60478,44323.3213,0.0,0.35538
2001-01-02 01:00:00,5.97072,11.0159,4.1895,8.78801,280.9496,279.65023,99250.62318,280.20086,582.63571,-14720.14271,41473.86991,0.0,0.35824
2001-01-02 02:00:00,4.63655,10.91847,3.08809,8.69869,280.82846,279.48858,99252.23878,280.20086,524.40436,-21724.25209,37011.52151,0.0,0.36008
2001-01-02 03:00:00,3.17468,11.41874,1.88085,8.83088,280.56776,279.23398,99275.50339,280.20086,482.12562,-34331.64897,26312.63798,0.0,0.35208
2001-01-02 04:00:00,2.16525,11.56301,1.21316,9.15387,280.2534,279.00632,99271.14128,280.20086,475.93636,-46684.35097,9968.61491,0.0,0.332
2001-01-02 05:00:00,1.4101,11.52554,0.44042,8.81159,280.11386,278.85814,99255.63154,280.20086,462.16307,-53688.46035,-622.74215,0.0,0.32258
2001-01-02 06:00:00,0.96647,11.59955,0.26614,9.0967,280.02185,278.81369,99208.13295,280.20086,465.73715,-55789.69316,-5407.66995,0.0,0.3117
2001-01-02 07:00:00,1.19324,12.26657,0.52319,9.7291,279.94364,278.73825,99205.22487,280.20086,489.79681,-64067.27697,-10999.04627,0.0,0.36517
2001-01-02 08:00:00,1.17232,12.29936,0.57094,9.68336,279.93137,278.68706,99203.12459,280.20086,508.88763,-66741.57328,-9224.85955,0.0,0.36952
2001-01-02 09:00:00,0.5856,12.20474,0.0083,9.43684,279.96511,278.68437,99192.94632,280.20086,482.12562,-64895.03536,-8364.64781,23075.83367,0.35417
2001-01-02 10:00:00,-0.26863,12.51296,-0.84084,9.23247,279.99424,278.75172,99176.1441,280.20086,465.9115,-63939.92953,-8633.46398,107258.64038,0.35022
2001-01-02 11:00:00,-0.39742,12.93079,-0.96101,9.56546,279.98658,278.67224,99188.26109,280.20086,514.46668,-68906.47982,-9547.43895,173305.60127,0.36247
2001-01-02 12:00:00,-0.28184,12.35557,-0.89734,9.11814,279.96818,278.57391,99138.50066,280.20086,526.23499,-74127.72499,-9332.38602,265473.59382,0.35471
2001-01-02 13:00:00,-0.52071,12.13729,-1.1512,9.04382,279.99118,278.56044,99095.36419,280.20086,536.34702,-75273.85198,-8579.70075,239623.24643,0.3406
2001-01-02 14:00:00,-1.26595,11.97053,-1.66291,8.82374,280.10926,278.65608,99047.0578,280.20086,537.91613,-68333.41632,-4601.22145,145154.43761,0.34189
2001-01-02 15:00:00,-1.64903,12.46893,-1.90007,9.33037,280.29174,278.78675,99054.97423,280.20086,587.60455,-64130.9507,4431.00183,58400.13038,0.35238
2001-01-02 16:00:00,-1.90001,12.7556,-2.03535,9.77197,280.42362,278.86218,99041.56477,280.20086,635.46235,-62411.76021,14162.14715,406.0264,0.38784
2001-01-02 17:00:00,-1.98037,13.06101,-2.08708,9.88916,280.61224,278.85679,99011.99932,280.20086,672.5979,-61456.65439,22871.79102,0.0,0.3939
2001-01-02 18:00:00,-1.72609,13.57626,-1.89052,10.18142,280.79165,279.18279,99007.79876,280.20086,719.40963,-51905.59614,36312.59947,0.0,0.40846
2001-01-02 19:00:00,-1.02378,13.78986,-1.38677,10.37793,280.97874,279.30537,98976.13304,280.20086,797.95221,-44710.4656,41205.05374,0.0,0.43137
2001-01-02 20:00:00,-1.59729,13.67276,-1.88176,10.20714,281.01554,279.2717,98932.83501,280.20086,840.31812,-45665.57142,51366.30493,0.0,0.41679
2001-01-02 21:00:00,-0.89498,14.97964,-1.35891,11.2104,281.05848,279.12217,98916.67902,280.20086,926.44472,-55853.36688,61957.66199,0.0,0.44298
2001-01-02 22:00:00,1.1437,15.34219,0.22078,11.53196,281.34064,279.07637,98902.78488,280.25004,947.27899,-60819.91717,77333.94685,0.0,0.48786
2001-01-02 23:00:00,1.58843,15.82372,0.65529,11.92854,281.2931,279.09523,98901.00772,280.25004,977.44074,-66550.55212,87172.61863,0.0,0.52056
2001-01-03 00:00:00,1.28447,15.84695,0.41857,11.92312,281.2219,279.04163,98869.44329,280.25053,923.23132,-70457.89189,83895.75289,0.0,0.52759
2001-01-03 01:00:00,2.77602,15.90569,1.54283,12.08607,281.16233,279.08648,98852.90156,280.25053,908.02164,-70392.98549,77514.06063,0.0,0.52478
2001-01-03 02:00:00,4.05157,15.71549,2.58072,11.95656,281.16233,279.28082,98866.28532,280.25053,869.43115,-57606.42502,77877.24636,0.0,0.5282
2001-01-03 03:00:00,4.86563,15.21202,3.25541,11.68544,281.14822,279.44525,98899.36879,280.25053,882.53735,-44690.05176,76632.03812,0.0,0.50324
2001-01-03 04:00:00,5.6074,14.35705,3.8961,11.15529,281.15919,279.43302,98943.12919,280.25053,949.12012,-36057.50079,71236.13572,0.0,0.46289
2001-01-03 05:00:00,6.76958,13.27365,4.93467,10.38177,281.04004,279.42623,98995.01008,280.25053,987.62971,-34954.09201,63401.7005,0.0,0.42278
2001-01-03 06:00:00,7.27569,11.81172,5.34275,9.31862,280.96793,279.28489,99059.22208,280.25053,1000.97863,-35797.87519,50275.13024,0.0,0.36739
2001-01-03 07:00:00,7.9273,10.19781,5.91406,8.18645,280.8817,279.07697,99132.90798,280.25053,979.62036,-45144.39655,50845.85069,0.0,0.37647
2001-01-03 08:00:00,9.26979,7.99559,7.03288,6.55402,280.8331,278.9003,99217.72195,280.25053,972.17733,-48779.15485,44931.11152,0.0,0.35093
2001-01-03 09:00:00,11.16838,4.95331,8.70806,4.22635,280.75001,278.65704,99343.73988,280.25053,958.42391,-54490.9179,37511.74572,24575.23239,0.35208
2001-01-03 10:00:00,11.23176,3.24337,8.8434,2.85294,280.71238,278.32545,99479.38209,280.25053,911.25774,-78701.00447,29366.00844,82323.64348,0.36539
2001-01-03 11:00:00,11.36833,2.90866,9.15559,2.55976,280.53209,277.67042,99583.74539,280.25053,944.18507,-110245.51405,22880.54882,268702.7475,0.37037
2001-01-03 12:00:00,11.90747,3.03639,9.76499,2.62309,280.38002,276.82377,99689.4621,280.25053,964.32979,-158470.96799,15461.18302,453253.94168,0.38543
2001-01-03 13:00:00,11.96638,3.52401,9.8983,3.03796,280.24989,276.42015,99793.37426,280.25053,1069.42215,-189820.75837,8871.95605,445062.19755,0.3863
2001-01-03 14:00:00,11.91372,4.0741,9.88809,3.49908,280.10252,276.43781,99876.9852,280.25053,1167.23328,-196635.93019,1660.12496,309526.06742,0.38206
2001-01-03 15:00:00,11.62897,4.40788,9.69493,3.77661,279.96299,276.33453,99979.69432,280.25053,1143.77155,-199361.99892,-6900.68173,118746.43969,0.38478
2001-01-03 16:00:00,11.13179,4.93373,9.32358,4.23062,279.85952,276.05866,100037.89114,280.25053,1104.53384,-208513.80108,-13438.02503,1015.50547,0.37169
2001-01-03 17:00:00,10.45072,6.04417,8.78015,5.18631,279.7874,275.90509,100110.07325,280.25053,1106.4755,-215328.9729,-18211.3233,0.0,0.3658
2001-01-03 18:00:00,9.73127,7.13409,8.17415,6.10784,279.77486,275.78278,100147.36734,280.25053,1123.06051,-218444.48002,-19404.64787,0.0,0.36354
2001-01-03 19:00:00,8.24061,7.81191,6.91794,6.69421,279.84384,275.74745,100166.16476,280.25053,1106.3946,-253948.27989,-18522.62536,0.0,0.36647
2001-01-03 20:00:00,6.36701,8.65103,5.27473,7.38233,280.01316,275.77463,100167.66856,280.25053,1041.26808,-233048.41964,-11103.25956,0.0,0.34363
2001-01-03 21:00:00,5.02184,10.1773,4.02601,8.54083,280.16994,275.95945,100182.25536,280.25053,1027.19104,-212602.90417,-5084.75304,0.0,0.35845
2001-01-03 22:00:00,4.64516,11.99446,3.63017,9.92705,279.91439,276.52071,100208.12061,280.359,911.58135,-206501.70273,-7211.98379,0.0,0.39582
2001-01-03 23:00:00,2.88135,12.28069,2.14951,10.13555,279.55224,277.13905,100174.73639,280.359,780.35749,-175476.44434,-27083.43206,0.0,0.40004
2001-01-04 00:00:00,1.184,12.42229,0.72386,10.21302,279.34833,277.26019,100117.57126,280.35867,716.0101,-165719.0616,-44620.1466,0.0,0.4187
2001-01-04 01:00:00,-0.64566,12.38086,-0.77782,10.15898,279.19685,277.21764,100051.88159,280.35867,700.31652,-173187.13589,-57478.74158,0.0,0.4385
2001-01-04 02:00:00,-2.27884,12.66588,-2.11936,10.34334,279.11075,277.05154,99972.90802,280.35867,660.60217,-187382.64899,-67253.17172,0.0,0.45562
2001-01-04 03:00:00,-3.87741,13.08347,-3.40932,10.64341,279.01668,276.92387,99880.50457,280.35867,662.68397,-206145.41413,-76648.01233,0.0,0.48679
2001-01-04 04:00:00,-4.6451,13.69494,-3.99629,11.01404,278.91782,276.87308,99797.73559,280.35867,724.17716,-224599.58116,-88557.63351,0.0,0.5192
2001-01-04 05:00:00,-4.97832,13.81674,-4.24736,11.09669,278.83809,276.89916,99745.91375,280.35867,822.82249,-239350.57086,-102982.03526,0.0,0.55729
2001-01-04 06:00:00,-6.10346,13.56403,-5.16818,10.85384,278.7775,276.72071,99687.37696,280.35867,822.98263,-257372.70053,-114701.86169,0.0,0.60053
2001-01-04 07:00:00,-6.50418,14.7762,-5.63979,11.89898,278.68662,276.56559,99599.06086,280.35867,842.03912,-262742.30766,-146634.83004,0.0,0.61365
2001-01-04 08:00:00,-7.43978,14.47544,-6.27358,11.47749,278.71213,276.75228,99559.50108,280.35867,858.37325,-298663.12777,-139090.48833,0.0,0.63374
2001-01-04 09:00:00,-6.60112,15.36861,-5.4939,12.24164,278.8652,276.77562,99532.49533,280.35867,799.20206,-298416.24928,-158876.59205,17647.10079,0.67992
2001-01-04 10:00:00,-4.36988,15.12585,-3.75879,12.00388,279.74695,277.52925,99529.72177,280.35867,695.59244,-259100.84995,-84714.28963,47879.73082,0.6354
2001-01-04 11:00:00,-3.43601,14.30558,-3.06054,11.17488,279.89684,277.98774,99494.83326,280.35867,622.16892,-186271.69579,-38309.47083,116210.94667,0.51648
2001-01-04 12:00:00,-3.29147,13.01967,-2.98521,10.25053,279.9064,278.1305,99454.10567,280.35867,593.98454,-142697.64253,-28155.45118,165527.06942,0.43858
2001-01-04 13:00:00,-3.73374,12.18946,-3.33197,9.76991,279.90321,278.09618,99448.41257,280.35867,606.15507,-130970.91432,-25735.56799,110328.57974,0.43757
2001-01-04 14:00:00,-4.07647,12.09087,-3.59254,10.02929,279.89046,278.07696,99414.83785,280.35867,579.81228,-132822.50298,-27064.13131,55198.48968,0.43944
2001-01-04 15:00:00,-4.68405,11.53408,-4.09875,9.44124,279.90002,278.07696,99378.78152,280.35867,560.27538,-131464.6713,-26637.0931,23050.67041,0.43395
2001-01-04 16:00:00,-5.35394,11.53905,-4.62668,9.25179,279.84581,278.10716,99359.07463,280.35867,574.68785,-128810.72754,-27965.65642,273.59846,0.42026
2001-01-04 17:00:00,-6.47995,11.09661,-5.4749,8.44441,279.84741,278.11952,99348.27233,280.35867,581.65387,-128563.84905,-29484.0145,0.0,0.43246
2001-01-04 18:00:00,-7.33765,11.41311,-6.09172,8.44632,279.87451,278.17031,99327.68956,280.35867,608.63722,-129983.40036,-28724.83546,0.0,0.44375
2001-01-04 19:00:00,-7.65789,11.99144,-6.28036,8.83475,279.92713,278.26366,99306.08496,280.35867,652.99559,-120787.17666,-26067.70882,0.0,0.44828
2001-01-04 20:00:00,-7.29957,12.67085,-5.9879,9.22636,279.98772,278.36249,99250.90565,280.35867,672.93283,-125848.18568,-25593.22192,0.0,0.46218
2001-01-04 21:00:00,-6.38821,13.82917,-5.29779,10.27087,280.01802,278.43525,99249.00795,280.35867,666.60736,-119737.94308,-21939.67279,0.0,0.46134
2001-01-04 22:00:00,-4.52393,13.75874,-4.15372,9.49146,280.22052,278.92943,99211.49185,280.46441,665.64653,-94556.33723,-13588.70336,0.0,0.43149
2001-01-04 23:00:00,-1.35969,14.23598,-1.75903,10.84875,280.66379,279.20123,99181.27461,280.46441,786.0707,-66041.87179,11986.14054,0.0,0.45684
2001-01-05 00:00:00,0.75657,15.05671,0.03292,11.754,280.84323,279.09796,99134.07117,280.46468,884.65594,-70357.9595,34789.31181,0.0,0.49519
2001-01-05 01:00:00,2.78025,15.40437,1.68432,12.04331,280.79295,279.05111,99166.72431,280.46468,983.7021,-80189.34769,36786.80254,0.0,0.51229
2001-01-05 02:00:00,4.53694,14.78555,3.06921,11.61654,280.71752,279.05111,99180.28119,280.46468,1043.62613,-82262.23074,33690.69191,0.0,0.51225
2001-01-05 03:00:00,5.45647,13.68307,3.77784,10.75122,280.72695,278.98633,99215.99556,280.46468,1057.859,-83624.41103,32292.4484,0.0,0.48428
2001-01-05 04:00:00,5.3913,13.16115,3.8288,10.41675,280.64524,279.00425,99207.39495,280.46468,1034.50249,-79537.87016,30444.76947,0.0,0.45611
2001-01-05 05:00:00,5.14242,13.27675,3.71242,10.56271,280.51795,279.00011,99227.51162,280.46468,988.73835,-75629.00497,22304.99475,0.0,0.44118
2001-01-05 06:00:00,3.77218,13.32181,2.47008,10.20729,280.41267,279.04973,99211.33082,280.46468,839.40272,-66685.99524,13466.09827,0.0,0.41224
2001-01-05 07:00:00,3.15946,14.54074,2.18842,11.32526,280.29167,278.98633,99199.52322,280.46468,770.93898,-73023.09485,4477.38999,0.0,0.4573
2001-01-05 08:00:00,0.57104,13.94488,0.13553,10.75973,280.28067,278.90089,99175.908,280.46468,781.59538,-102161.90803,8722.05779,0.0,0.43734
2001-01-05 09:00:00,-2.76948,13.09995,-2.45107,10.27994,280.29953,278.79064,99132.3219,280.46468,726.41565,-94699.52905,-566.27411,37134.25847,0.43111
2001-01-05 10:00:00,-5.20949,12.14792,-4.36416,9.42444,280.14396,278.63491,99093.25475,280.46468,663.49907,-100740.50251,-11902.034,127095.21249,0.41609
2001-01-05 11:00:00,-7.21326,10.65017,-5.96322,8.22858,279.99153,278.49985,99004.77058,280.46468,695.90622,-108380.55718,-22538.67213,165785.1867,0.43923
2001-01-05 12:00:00,-9.43243,9.32753,-7.69657,7.10144,279.87839,278.37031,98840.92181,280.46468,788.67532,-122949.96377,-32576.06305,158344.80704,0.46159
2001-01-05 13:00:00,-10.81533,8.50216,-8.73093,6.41285,279.83439,278.27797,98698.06433,280.46468,884.36399,-136453.31622,-38968.03339,90840.27162,0.4834
2001-01-05 14:00:00,-11.76835,7.84509,-9.49741,5.93502,279.83125,278.23387,98543.54503,280.46468,917.28205,-146817.73148,-41315.085,35984.38161,0.50164
2001-01-05 15:00:00,-11.55747,7.28152,-9.41821,5.60186,279.76525,278.21182,98446.60603,280.46468,930.05514,-151259.62373,-45559.7528,11498.76856,0.4997
2001-01-05 16:00:00,-10.92937,6.61085,-9.01604,5.09589,279.58925,278.22698,98342.52415,280.46468,905.09288,-144981.74935,-51901.78586,135.27963,0.46582
2001-01-05 17:00:00,-10.29674,7.18377,-8.85076,5.60578,279.30326,277.86039,98245.58515,280.46468,831.59289,-143204.99245,-65884.22097,0.0,0.44557
2001-01-05 18:00:00,-8.57987,7.45407,-7.57605,6.31794,279.14769,277.27468,98191.94072,280.46468,746.92557,-196152.3481,-79916.59335,0.0,0.46426
2001-01-05 19:00:00,-7.93458,6.5046,-7.10846,5.66993,279.11312,277.76255,98125.90558,280.46468,672.25776,-213979.14234,-101589.36777,0.0,0.35381
2001-01-05 20:00:00,-5.46742,5.61717,-4.98601,4.98068,279.50597,278.40476,98129.25836,280.46468,552.4827,-175423.51759,-87007.68544,0.0,0.26577
2001-01-05 21:00:00,-3.96143,3.48275,-3.76709,3.1787,279.89411,278.69141,98125.61403,280.46468,394.53436,-116968.21554,-62688.2358,0.0,0.17281
2001-01-05 22:00:00,-0.91233,1.8456,-0.94911,1.73672,278.82241,276.99768,98133.48577,280.54385,310.59693,-74089.14899,-38618.47251,0.0,0.09497
2001-01-05 23:00:00,2.87166,1.51494,2.52517,1.44414,279.13983,277.00733,98188.00485,280.54385,281.91223,-48385.39916,-20740.93048,0.0,0.07708
2001-01-06 00:00:00,6.1369,0.71488,5.2726,0.64655,279.45136,277.0188,98229.2534,280.54376,578.79119,-62128.86689,-17772.09176,0.0,0.14672
2001-01-06 01:00:00,7.10416,-0.00569,6.1888,0.0492,279.85817,276.86032,98256.90032,280.54376,695.6527,-87922.8538,-16765.82246,0.0,0.18102
2001-01-06 02:00:00,6.82229,0.3871,5.86262,0.43094,279.97117,277.00295,98292.8573,280.54376,737.35398,-99971.36084,-11678.57211,0.0,0.19554
2001-01-06 03:00:00,8.19005,0.87328,6.90047,0.89822,279.94707,277.20634,98330.57218,280.54376,711.72932,-102403.68855,-13299.78376,0.0,0.24194
2001-01-06 04:00:00,10.11443,0.12799,8.62109,0.29521,279.78434,277.50878,98383.6287,280.54376,712.87182,-119260.28526,-23082.9575,0.0,0.32387
2001-01-06 05:00:00,10.7755,-0.24283,9.15332,-0.07451,279.68791,277.76367,98472.00296,280.54376,807.37295,-137474.46023,-35996.74685,0.0,0.39215
2001-01-06 06:00:00,10.76739,-0.1943,9.13964,-0.0328,279.68038,277.60386,98548.87099,280.54376,899.09945,-152351.25531,-42649.30499,0.0,0.40237
2001-01-06 07:00:00,10.96206,0.39168,9.25977,0.46416,279.91241,277.11785,98620.46534,280.54376,1016.77703,-150541.15096,-28170.20785,0.0,0.36332
2001-01-06 08:00:00,11.44264,1.50413,9.58291,1.40013,280.1128,276.76523,98738.56404,280.54376,1023.06078,-172941.19222,-17436.66866,0.0,0.3828
2001-01-06 09:00:00,12.35414,2.41789,10.24896,2.14806,279.90488,277.01352,98850.11058,280.54376,933.37447,-182104.84547,-23418.3806,56222.9311,0.42199
2001-01-06 10:00:00,12.77795,3.40673,10.7234,2.97728,279.74517,277.62632,98964.05425,280.54376,902.36373,-181482.6221,-40748.57409,217335.25155,0.4721
2001-01-06 11:00:00,13.16324,4.41114,10.98648,3.80509,279.61107,277.69367,99056.58355,280.54376,946.26841,-184480.60742,-55004.05583,333455.36203,0.50011
2001-01-06 12:00:00,13.39745,5.14453,11.0762,4.38477,279.55382,277.58405,99127.05923,280.54376,1021.99989,-197377.60087,-65905.30658,446733.12951,0.50797
2001-01-06 13:00:00,13.365,5.53732,10.93706,4.67885,279.82502,277.09144,99191.62198,280.54376,1151.67373,-218476.62964,-56233.94053,461846.07523,0.50797
2001-01-06 14:00:00,13.87601,6.36868,11.3043,5.32215,280.25443,276.24753,99261.13881,280.54376,1300.11723,-272949.45725,-25095.4961,300595.1039,0.53023
2001-01-06 15:00:00,13.54446,6.92903,10.90436,5.72793,280.19115,276.43506,99320.58768,280.54376,1188.96822,-295688.89308,-13243.87991,113763.04555,0.53119
