,WS-99.2,WD-99.2
2023-03-10 00:00:00,8.25,73.83
2023-03-10 00:10:00,8.48,79.73
2023-03-10 00:20:00,8.63,74.04
2023-03-10 00:30:00,8.78,74.97
2023-03-10 00:40:00,8.79,70.54
2023-03-10 00:50:00,8.8,66.82
2023-03-10 01:00:00,9.05,63.67
2023-03-10 01:10:00,9.23,73.89
2023-03-10 01:20:00,9.16,74.4
2023-03-10 01:30:00,9.12,72.29
2023-03-10 01:40:00,8.95,76.09
2023-03-10 01:50:00,9.37,68.67
2023-03-10 02:00:00,9.87,63.73
2023-03-10 02:10:00,9.75,66.16
2023-03-10 02:20:00,9.64,64.89
2023-03-10 02:30:00,9.18,66.4
2023-03-10 02:40:00,9.45,67.98
2023-03-10 02:50:00,9.58,67.15
2023-03-10 03:00:00,9.9,65.17
2023-03-10 03:10:00,9.97,68.38
2023-03-10 03:20:00,9.78,63.13
2023-03-10 03:30:00,9.93,64.92
2023-03-10 03:40:00,10.37,59.45
2023-03-10 03:50:00,11.05,60.18
2023-03-10 04:00:00,10.65,60.89
2023-03-10 04:10:00,10.78,60.79
2023-03-10 04:20:00,10.81,63.05
2023-03-10 04:30:00,10.92,59.34
2023-03-10 04:40:00,11.22,55.21
2023-03-10 04:50:00,11.18,56.77
2023-03-10 05:00:00,11.16,56.66
2023-03-10 05:10:00,11.72,56.52
2023-03-10 05:20:00,11.42,54.72
2023-03-10 05:30:00,11.74,61.8
2023-03-10 05:40:00,11.26,57.28
2023-03-10 05:50:00,11.23,61.1
2023-03-10 06:00:00,10.89,59.89
2023-03-10 06:10:00,10.93,56.38
2023-03-10 06:20:00,10.99,54.75
2023-03-10 06:30:00,10.89,54.18
2023-03-10 06:40:00,10.77,52.27
2023-03-10 06:50:00,10.77,59.05
2023-03-10 07:00:00,10.4,60.86
2023-03-10 07:10:00,9.96,60.98
2023-03-10 07:20:00,9.85,65.03
2023-03-10 07:30:00,10.47,64.65
2023-03-10 07:40:00,10.09,62.64
2023-03-10 07:50:00,9.97,60.51
2023-03-10 08:00:00,9.55,62.58
2023-03-10 08:10:00,9.58,63.48
2023-03-10 08:20:00,10.0,66.04
2023-03-10 08:30:00,9.14,61.54
2023-03-10 08:40:00,9.06,63.56
2023-03-10 08:50:00,8.93,65.21
2023-03-10 09:00:00,8.84,63.83
2023-03-10 09:10:00,8.85,63.26
2023-03-10 09:20:00,8.91,60.89
2023-03-10 09:30:00,9.0,64.64
2023-03-10 09:40:00,8.81,61.22
2023-03-10 09:50:00,8.64,59.7
2023-03-10 10:00:00,8.46,58.27
2023-03-10 10:10:00,8.57,57.37
2023-03-10 10:20:00,9.14,56.83
2023-03-10 10:30:00,8.3,61.28
2023-03-10 10:40:00,8.19,63.48
2023-03-10 10:50:00,7.95,62.21
2023-03-10 11:00:00,7.67,58.05
2023-03-10 11:10:00,7.27,59.07
2023-03-10 11:20:00,7.43,62.77
2023-03-10 11:30:00,6.96,58.67
2023-03-10 11:40:00,7.09,45.91
2023-03-10 11:50:00,6.69,29.41
2023-03-10 12:00:00,6.47,48.72
2023-03-10 12:10:00,7.28,41.85
2023-03-10 12:20:00,7.85,31.39
2023-03-10 12:30:00,9.73,22.22
2023-03-10 12:40:00,10.42,23.15
2023-03-10 12:50:00,11.29,5.38
2023-03-10 13:00:00,12.67,359.75
2023-03-10 13:10:00,12.5,2.66
2023-03-10 13:20:00,12.27,0.43
2023-03-10 13:30:00,11.69,0.53
2023-03-10 13:40:00,11.84,0.73
2023-03-10 13:50:00,11.55,6.62
2023-03-10 14:00:00,11.04,0.42
2023-03-10 14:10:00,10.05,19.1
2023-03-10 14:20:00,12.05,17.44
2023-03-10 14:30:00,13.43,13.55
2023-03-10 14:40:00,13.36,14.43
2023-03-10 14:50:00,11.97,18.93
2023-03-10 15:00:00,11.59,18.5
2023-03-10 15:10:00,9.97,14.79
2023-03-10 15:20:00,9.86,20.18
2023-03-10 15:30:00,10.29,18.8
2023-03-10 15:40:00,10.19,18.05
2023-03-10 15:50:00,9.64,14.55
2023-03-10 16:00:00,9.48,18.19
2023-03-10 16:10:00,9.22,18.03
2023-03-10 16:20:00,9.65,18.21
2023-03-10 16:30:00,10.57,12.91
2023-03-10 16:40:00,11.06,6.75
2023-03-10 16:50:00,10.33,10.91
2023-03-10 17:00:00,11.1,5.26
2023-03-10 17:10:00,15.66,9.52
2023-03-10 17:20:00,14.62,12.6
2023-03-10 17:30:00,13.59,15.34
2023-03-10 17:40:00,10.34,18.02
2023-03-10 17:50:00,10.23,11.32
2023-03-10 18:00:00,11.59,6.87
2023-03-10 18:10:00,13.68,2.52
2023-03-10 18:20:00,13.79,0.71
2023-03-10 18:30:00,14.62,358.22
2023-03-10 18:40:00,14.64,354.39
2023-03-10 18:50:00,14.33,355.16
2023-03-10 19:00:00,14.89,351.41
2023-03-10 19:10:00,14.53,350.95
2023-03-10 19:20:00,13.36,353.66
2023-03-10 19:30:00,12.6,346.59
2023-03-10 19:40:00,13.6,345.36
2023-03-10 19:50:00,12.32,345.0
2023-03-10 20:00:00,13.05,344.72
2023-03-10 20:10:00,14.37,342.64
2023-03-10 20:20:00,15.09,342.46
2023-03-10 20:30:00,14.74,346.0
2023-03-10 20:40:00,15.89,346.07
2023-03-10 20:50:00,15.28,351.38
2023-03-10 21:00:00,15.27,348.06
2023-03-10 21:10:00,14.25,349.55
2023-03-10 21:20:00,14.82,348.29
2023-03-10 21:30:00,14.08,354.52
2023-03-10 21:40:00,13.7,354.24
2023-03-10 21:50:00,13.06,347.76
2023-03-10 22:00:00,14.0,345.71
2023-03-10 22:10:00,13.1,344.32
2023-03-10 22:20:00,12.93,341.84
2023-03-10 22:30:00,12.32,347.29
2023-03-10 22:40:00,12.83,341.42
2023-03-10 22:50:00,12.61,344.16
2023-03-10 23:00:00,11.93,344.5
2023-03-10 23:10:00,13.1,345.39
2023-03-10 23:20:00,12.23,341.62
2023-03-10 23:30:00,12.59,344.69
2023-03-10 23:40:00,12.26,339.55
2023-03-10 23:50:00,12.57,343.99
2023-03-11 00:00:00,11.54,347.41
2023-03-11 00:10:00,11.2,347.72
2023-03-11 00:20:00,11.74,343.45
2023-03-11 00:30:00,11.6,345.53
2023-03-11 00:40:00,11.02,340.07
2023-03-11 00:50:00,12.01,342.5
2023-03-11 01:00:00,10.89,351.58
2023-03-11 01:10:00,11.38,349.27
2023-03-11 01:20:00,10.66,345.14
2023-03-11 01:30:00,10.54,343.51
2023-03-11 01:40:00,10.37,342.54
2023-03-11 01:50:00,10.65,339.75
2023-03-11 02:00:00,10.71,335.35
2023-03-11 02:10:00,10.07,334.89
2023-03-11 02:20:00,10.15,333.23
